repo,total_merged_prs,passed_first_try,pass_rate
gogs/gogs,0,0,0.0
karan/Projects,0,0,0.0
square/okhttp,0,0,0.0
x64dbg/x64dbg,0,0,0.0
typescript-cheatsheets/react,0,0,0.0
nlohmann/json,0,0,0.0
Mintplex-Labs/anything-llm,0,0,0.0
v2ray/v2ray-core,0,0,0.0
ziishaned/learn-regex,0,0,0.0
type-challenges/type-challenges,0,0,0.0
pandas-dev/pandas,0,0,0.0
TanStack/query,0,0,0.0
slab/quill,0,0,0.0
lllyasviel/Fooocus,0,0,0.0
hashicorp/terraform,0,0,0.0
dkhamsing/open-source-ios-apps,0,0,0.0
pixijs/pixijs,0,0,0.0
bigskysoftware/htmx,0,0,0.0
jesseduffield/lazydocker,0,0,0.0
android/architecture-samples,0,0,0.0
LadybirdBrowser/ladybird,0,0,0.0
lyswhut/lx-music-desktop,0,0,0.0
kelseyhightower/kubernetes-the-hard-way,0,0,0.0
jakevdp/PythonDataScienceHandbook,0,0,0.0
maybe-finance/maybe,0,0,0.0
jestjs/jest,0,0,0.0
brillout/awesome-react-components,0,0,0.0
ColorlibHQ/AdminLTE,0,0,0.0
Asabeneh/30-Days-Of-JavaScript,0,0,0.0
meteor/meteor,0,0,0.0
skylot/jadx,0,0,0.0
discourse/discourse,0,0,0.0
serhii-londar/open-source-mac-os-apps,0,0,0.0
TapXWorld/ChinaTextbook,0,0,0.0
dbeaver/dbeaver,0,0,0.0
google/zx,0,0,0.0
akullpp/awesome-java,0,0,0.0
oobabooga/text-generation-webui,0,0,0.0
dypsilon/frontend-dev-bookmarks,0,0,0.0
Homebrew/brew,0,0,0.0
odoo/odoo,0,0,0.0
vercel/hyper,0,0,0.0
isocpp/CppCoreGuidelines,0,0,0.0
typst/typst,0,0,0.0
parcel-bundler/parcel,0,0,0.0
FuelLabs/fuels-rs,0,0,0.0
FuelLabs/fuels-ts,0,0,0.0
astaxie/build-web-application-with-golang,0,0,0.0
aymericdamien/TensorFlow-Examples,0,0,0.0
babel/babel,0,0,0.0
square/retrofit,0,0,0.0
react-hook-form/react-hook-form,0,0,0.0
DovAmir/awesome-design-patterns,0,0,0.0
acmesh-official/acme.sh,0,0,0.0
yangshun/front-end-interview-handbook,0,0,0.0
grpc/grpc,0,0,0.0
jeecgboot/JeecgBoot,0,0,0.0
coollabsio/coolify,0,0,0.0
streamich/react-use,0,0,0.0
microsoft/monaco-editor,0,0,0.0
Leaflet/Leaflet,0,0,0.0
termux/termux-app,0,0,0.0
run-llama/llama_index,0,0,0.0
RocketChat/Rocket.Chat,0,0,0.0
LeCoupa/awesome-cheatsheets,0,0,0.0
ultralytics/ultralytics,0,0,0.0
prisma/prisma,0,0,0.0
mendableai/firecrawl,0,0,0.0
karpathy/nanoGPT,0,0,0.0
metabase/metabase,0,0,0.0
usememos/memos,0,0,0.0
pyenv/pyenv,0,0,0.0
