batch_id,unique_authors,total_contribution,avg_contribution,max_contribution,avg_effort,importance,total_churn,total_files,start_ts,end_ts,commit_count,start_date,end_date,duration_hours
9,9,1.2046,0.1004,0.4126,0.0424,1.0322,2990.0,153,1754411071,1754478809,12,2025-08-05,2025-08-06,18.82
54,10,1.1634,0.097,0.5403,-0.0183,0.7755,9268.0,79,1752583045,1752611132,12,2025-07-15,2025-07-15,7.8
156,5,1.1614,0.083,0.1505,0.2077,0.3417,1424.0,69,1750329273,1750359831,14,2025-06-19,2025-06-19,8.49
214,7,1.1114,0.101,0.3299,0.0406,0.9648,3281.0,210,1748997474,1749041121,11,2025-06-04,2025-06-04,12.12
123,8,1.1067,0.0791,0.2447,-0.0295,1.1044,2017.0,360,1750893874,1750924795,14,2025-06-25,2025-06-26,8.59
90,7,1.0882,0.1088,0.2491,0.0492,0.7673,2221.0,128,1751557381,1751572867,10,2025-07-03,2025-07-03,4.3
200,4,1.0682,0.178,0.2301,0.2009,0.6674,1678.0,127,1749304016,1749425055,6,2025-06-07,2025-06-08,33.62
205,6,1.0392,0.1299,0.2265,0.1658,0.6581,2248.0,105,1749163773,1749209735,8,2025-06-05,2025-06-06,12.77
74,5,1.0156,0.1451,0.3574,0.2102,0.494,3091.0,74,1752005583,1752022153,7,2025-07-08,2025-07-09,4.6
79,6,0.9874,0.1411,0.4779,0.0661,0.8849,14373.0,100,1751845569,1751900673,7,2025-07-06,2025-07-07,15.31
12,3,0.8487,0.2122,0.4705,0.3169,0.6696,2981.0,337,1754127155,1754160443,4,2025-08-02,2025-08-02,9.25
132,6,0.8385,0.1397,0.5187,0.0383,1.0881,5794.34,196,1750787237,1750807469,6,2025-06-24,2025-06-24,5.62
113,4,0.8297,0.1383,0.178,0.2797,0.4606,2915.0,83,1751022641,1751036845,6,2025-06-27,2025-06-27,3.95
174,3,0.8036,0.1148,0.2216,0.2899,0.396,1122.0,76,1749838526,1749943493,7,2025-06-13,2025-06-14,29.16
5,7,0.801,0.089,0.2735,0.1564,0.4267,3192.0,59,1754514591,1754597027,9,2025-08-06,2025-08-07,22.9
55,3,0.7842,0.2614,0.6853,0.2876,0.8714,4939.0,74,1752554860,1752569888,3,2025-07-15,2025-07-15,4.17
187,7,0.7197,0.08,0.3092,0.0523,0.6906,1678.0,104,1749578575,1749623650,9,2025-06-10,2025-06-11,12.52
50,3,0.7017,0.1754,0.2327,0.3278,0.5351,1689.0,90,1752665619,1752670702,4,2025-07-16,2025-07-16,1.41
172,2,0.7012,0.2337,0.5389,0.2998,0.7797,1132.0,179,1750074412,1750077740,3,2025-06-16,2025-06-16,0.92
182,5,0.6875,0.1375,0.4214,0.0036,0.8196,891.0,211,1749653474,1749658870,5,2025-06-11,2025-06-11,1.5
137,2,0.6676,0.1335,0.1665,0.6598,0.2024,1222.0,33,1750694735,1750701216,5,2025-06-23,2025-06-23,1.8
22,3,0.6498,0.2166,0.4366,0.4195,0.4961,13469.0,84,1753895071,1753897883,3,2025-07-30,2025-07-30,0.78
48,2,0.6306,0.3153,0.4659,0.5287,0.5964,1832.0,100,1752689486,1752691534,2,2025-07-16,2025-07-16,0.57
173,3,0.6253,0.1563,0.3126,-0.0095,-1.0331,8.0,4,1750073638,1750074293,4,2025-06-16,2025-06-16,0.18
136,6,0.6014,0.0601,0.1343,0.0592,0.4727,1184.0,72,1750704163,1750728232,10,2025-06-23,2025-06-24,6.69
27,2,0.5972,0.2986,0.3085,0.6804,0.4388,4219.0,65,1753701792,1753707690,2,2025-07-28,2025-07-28,1.64
53,8,0.5902,0.0656,0.1532,0.0688,0.536,2716.0,73,1752616542,1752623927,9,2025-07-15,2025-07-15,2.05
45,7,0.5809,0.0581,0.2823,0.0455,0.5267,2123.0,80,1752780226,1752797829,10,2025-07-17,2025-07-18,4.89
146,5,0.5638,0.1128,0.2715,0.1547,0.6388,2078.0,113,1750444381,1750452403,5,2025-06-20,2025-06-20,2.23
166,5,0.5142,0.0514,0.1261,0.2004,0.1994,1176.0,34,1750177804,1750192610,10,2025-06-17,2025-06-17,4.11
65,3,0.5141,0.1714,0.4458,0.1915,0.6575,1072.0,132,1752137316,1752155322,3,2025-07-10,2025-07-10,5.0
97,7,0.4892,0.0611,0.381,-0.0384,0.8327,1738.0,146,1751435683,1751467757,8,2025-07-02,2025-07-02,8.91
83,5,0.4514,0.0752,0.1395,-0.0456,-0.3558,145.0,43,1751671470,1751758389,6,2025-07-04,2025-07-05,24.14
145,6,0.4272,0.0712,0.1686,0.1055,0.4643,2141.0,48,1750456215,1750460467,6,2025-06-20,2025-06-20,1.18
177,5,0.4169,0.0834,0.145,-0.1226,-0.3827,116.0,12,1749803532,1749821562,5,2025-06-13,2025-06-13,5.01
20,6,0.3921,0.049,0.2747,0.031,0.4693,2686.0,53,1753904083,1753923631,8,2025-07-30,2025-07-31,5.43
59,2,0.3429,0.0857,0.1066,0.6789,0.1263,1368.0,41,1752486064,1752505242,4,2025-07-14,2025-07-14,5.33
130,5,0.3293,0.0366,0.0807,0.138,0.2382,769.0,57,1750844332,1750859842,9,2025-06-25,2025-06-25,4.31
10,5,0.3222,0.046,0.0962,0.1145,0.2814,912.0,70,1754382545,1754410715,7,2025-08-05,2025-08-05,7.82
167,5,0.3097,0.0516,0.1014,0.1303,0.3284,1845.0,58,1750149956,1750177208,6,2025-06-17,2025-06-17,7.57
37,5,0.2977,0.0496,0.1087,0.1747,0.2535,1018.0,60,1752874512,1752960201,6,2025-07-18,2025-07-19,23.8
19,2,0.2947,0.1473,0.23,0.6079,0.2424,11624.0,37,1753925337,1753925554,2,2025-07-31,2025-07-31,0.06
171,3,0.2577,0.0859,0.2577,0.0882,-0.7017,131.0,3,1750086728,1750111559,3,2025-06-16,2025-06-16,6.9
8,6,0.253,0.0361,0.0791,0.0406,0.3504,1058.0,51,1754481466,1754504737,7,2025-08-06,2025-08-06,6.46
49,8,0.2431,0.0221,0.1085,-0.0145,0.4451,923.0,61,1752672997,1752689417,11,2025-07-16,2025-07-16,4.56
210,4,0.2245,0.0561,0.1219,-0.0408,-0.4397,94.0,22,1749057667,1749067318,4,2025-06-04,2025-06-04,2.68
101,3,0.2235,0.0447,0.0546,0.3778,0.1183,1495.0,32,1751402885,1751403479,5,2025-07-01,2025-07-01,0.16
176,2,0.2234,0.1117,0.1746,0.4586,0.2435,845.0,69,1749824069,1749827921,2,2025-06-13,2025-06-13,1.07
36,5,0.2175,0.0435,0.1014,0.0672,0.2877,1106.0,68,1752967530,1753110411,5,2025-07-19,2025-07-21,39.69
201,5,0.2168,0.0361,0.1528,0.0992,0.2952,1289.0,78,1749243419,1749298132,6,2025-06-06,2025-06-07,15.2
23,8,0.2108,0.0192,0.0669,-0.0824,0.3336,976.0,68,1753861333,1753895032,11,2025-07-30,2025-07-30,9.36
131,5,0.201,0.0287,0.1562,0.0382,0.3893,770.0,70,1750834148,1750840448,7,2025-06-25,2025-06-25,1.75
77,7,0.1987,0.0284,0.1574,-0.0448,0.3602,4608.0,46,1751917382,1751934362,7,2025-07-07,2025-07-08,4.72
181,6,0.1942,0.0277,0.1082,-0.007,0.2603,919.0,83,1749664703,1749718995,7,2025-06-11,2025-06-12,15.08
30,4,0.1904,0.0317,0.1474,0.0448,0.4239,1296.0,100,1753327618,1753352300,6,2025-07-24,2025-07-24,6.86
126,3,0.1892,0.0378,0.0854,0.2546,0.1119,769.0,31,1750869989,1750876079,5,2025-06-25,2025-06-25,1.69
76,8,0.1867,0.0207,0.0706,0.0216,0.1882,1004.0,37,1751934799,1751982729,9,2025-07-08,2025-07-08,13.31
133,2,0.163,0.0543,0.0815,0.4744,0.1103,413.0,37,1750780358,1750785066,3,2025-06-24,2025-06-24,1.31
160,2,0.1503,0.0376,0.0465,0.622,0.0604,660.0,26,1750229090,1750238582,4,2025-06-18,2025-06-18,2.64
195,4,0.1415,0.0354,0.1123,0.0765,-0.3685,871.0,26,1749508208,1749528420,4,2025-06-09,2025-06-10,5.61
58,7,0.1403,0.0156,0.0383,0.0372,0.0788,708.0,27,1752507948,1752521053,9,2025-07-14,2025-07-14,3.64
25,5,0.132,0.0264,0.068,0.0316,0.1836,563.0,40,1753821908,1753836939,5,2025-07-29,2025-07-30,4.18
109,4,0.1255,0.0251,0.0781,0.1215,-0.2988,218.0,20,1751299238,1751305099,5,2025-06-30,2025-06-30,1.63
135,5,0.1202,0.024,0.0463,0.0791,0.2298,836.0,35,1750729743,1750763475,5,2025-06-24,2025-06-24,9.37
211,4,0.1151,0.023,0.0383,0.1594,0.1445,507.0,36,1749049027,1749056992,5,2025-06-04,2025-06-04,2.21
88,9,0.1133,0.0103,0.0516,-0.0528,0.2124,597.0,44,1751576988,1751640786,11,2025-07-03,2025-07-04,17.72
106,6,0.0992,0.0124,0.0384,-0.0146,0.1114,890.0,26,1751350828,1751363068,8,2025-07-01,2025-07-01,3.4
47,4,0.0912,0.0228,0.0831,0.0386,-0.2289,267.0,27,1752693912,1752701101,4,2025-07-16,2025-07-16,2.0
66,6,0.0841,0.0093,0.0259,0.0515,0.0663,1059.0,61,1752103488,1752130061,9,2025-07-09,2025-07-10,7.38
121,4,0.081,0.0202,0.081,-0.0161,-0.2035,152.0,25,1750952562,1750956325,4,2025-06-26,2025-06-26,1.05
110,3,0.0781,0.026,0.0781,0.1827,0.1187,1003.0,23,1751282928,1751295286,3,2025-06-30,2025-06-30,3.43
193,4,0.0778,0.0086,0.0593,0.2827,-0.1877,320.0,15,1749541400,1749551883,9,2025-06-10,2025-06-10,2.91
91,7,0.0764,0.0109,0.024,-0.1517,-0.0596,476.0,27,1751532261,1751556260,7,2025-07-03,2025-07-03,6.67
197,6,0.0751,0.0107,0.0274,0.0032,0.0781,375.0,50,1749438222,1749503526,7,2025-06-09,2025-06-09,18.14
80,4,0.0733,0.0183,0.0523,0.0712,-0.2522,239.0,33,1751795237,1751844272,4,2025-07-06,2025-07-06,13.62
68,4,0.0594,0.0148,0.043,-0.0162,-0.2704,106.0,25,1752093842,1752096440,4,2025-07-09,2025-07-09,0.72
164,3,0.0549,0.0183,0.0549,0.0844,-0.6532,53.0,3,1750203842,1750204675,3,2025-06-17,2025-06-17,0.23
165,5,0.0478,0.0096,0.0326,-0.0176,-0.1158,235.0,41,1750192975,1750202666,5,2025-06-17,2025-06-17,2.69
141,2,0.0463,0.0154,0.0231,0.5238,0.0286,787.0,41,1750672470,1750679981,3,2025-06-23,2025-06-23,2.09
120,2,0.0382,0.0127,0.0382,0.409,-0.6538,158.0,7,1750957036,1750961273,3,2025-06-26,2025-06-26,1.18
159,7,0.0311,0.0035,0.02,-0.0433,0.1601,705.0,44,1750246962,1750293044,9,2025-06-18,2025-06-19,12.8
204,4,0.0263,0.0066,0.0263,0.0989,-0.4606,275.0,26,1749213500,1749216928,4,2025-06-06,2025-06-06,0.95
52,3,0.0263,0.0066,0.0263,0.299,-0.2152,716.0,22,1752626798,1752660834,4,2025-07-16,2025-07-16,9.45
191,3,0.0236,0.0079,0.0236,0.0591,-0.4134,113.0,12,1749569888,1749570551,3,2025-06-10,2025-06-10,0.18
178,4,0.0229,0.0038,0.0142,0.2087,-0.2232,500.0,33,1749794082,1749803504,6,2025-06-13,2025-06-13,2.62
170,4,0.0203,0.0034,0.0055,0.1723,0.0179,624.0,33,1750111606,1750122093,6,2025-06-16,2025-06-17,2.91
209,7,0.02,0.0022,0.02,-0.0898,0.0491,512.0,33,1749076030,1749105716,9,2025-06-04,2025-06-05,8.25
